545.00,0.00,
544.00,0.01,
545.00,0.02,
545.00,0.02,
544.00,0.03,
545.00,0.03,
545.00,0.04,
545.00,0.05,
545.00,0.05,
545.00,0.06,
545.00,0.06,
545.00,0.07,
544.00,0.08,
545.00,0.08,
544.00,0.09,
545.00,0.10,
544.00,0.10,
544.00,0.11,
544.00,0.11,
544.00,0.12,
544.00,0.12,
544.00,0.13,
543.00,0.14,
543.00,0.14,
544.00,0.15,
544.00,0.15,
543.00,0.16,
544.00,0.17,
543.00,0.17,
543.00,0.18,
543.00,0.18,
544.00,0.19,
543.00,0.20,
543.00,0.20,
544.00,0.21,
544.00,0.21,
543.00,0.22,
543.00,0.23,
544.00,0.23,
543.00,0.24,
543.00,0.24,
544.00,0.25,
544.00,0.26,
543.00,0.26,
544.00,0.27,
545.00,0.27,
544.00,0.28,
544.00,0.29,
544.00,0.29,
544.00,0.30,
543.00,0.30,
543.00,0.31,
544.00,0.32,
544.00,0.32,
543.00,0.33,
544.00,0.33,
544.00,0.34,
544.00,0.35,
544.00,0.35,
544.00,0.36,
544.00,0.36,
544.00,0.37,
544.00,0.37,
544.00,0.38,
544.00,0.39,
544.00,0.39,
544.00,0.40,
544.00,0.41,
543.00,0.41,
544.00,0.42,
544.00,0.42,
544.00,0.43,
544.00,0.44,
543.00,0.44,
544.00,0.45,
544.00,0.45,
544.00,0.46,
545.00,0.46,
544.00,0.47,
543.00,0.48,
544.00,0.48,
544.00,0.49,
544.00,0.50,
543.00,0.50,
544.00,0.51,
545.00,0.51,
543.00,0.52,
543.00,0.52,
544.00,0.53,
543.00,0.54,
543.00,0.54,
544.00,0.55,
544.00,0.56,
543.00,0.56,
544.00,0.57,
544.00,0.57,
543.00,0.58,
544.00,0.58,
544.00,0.59,
544.00,0.60,
543.00,0.60,
543.00,0.61,
544.00,0.61,
543.00,0.62,
543.00,0.63,
544.00,0.63,
543.00,0.64,
543.00,0.65,
543.00,0.65,
543.00,0.66,
543.00,0.66,
542.00,0.67,
543.00,0.67,
543.00,0.68,
543.00,0.69,
543.00,0.69,
543.00,0.70,
543.00,0.70,
543.00,0.71,
543.00,0.72,
543.00,0.72,
543.00,0.73,
544.00,0.74,
544.00,0.74,
544.00,0.75,
543.00,0.75,
543.00,0.76,
544.00,0.76,
544.00,0.77,
543.00,0.78,
544.00,0.78,
544.00,0.79,
544.00,0.79,
544.00,0.80,
544.00,0.81,
543.00,0.81,
543.00,0.82,
544.00,0.83,
544.00,0.83,
543.00,0.84,
543.00,0.84,
544.00,0.85,
544.00,0.86,
543.00,0.86,
544.00,0.87,
544.00,0.87,
543.00,0.88,
543.00,0.88,
544.00,0.89,
544.00,0.90,
543.00,0.90,
543.00,0.91,
545.00,0.91,
543.00,0.92,
543.00,0.93,
544.00,0.93,
544.00,0.94,
543.00,0.94,
543.00,0.95,
544.00,0.96,
